endpoint,query,elapsed,status_code
query,What is the basic definition of Artificial Intelligence provided in the 'A_Brief_Introduction_To_AI.pdf'?,0.13398440499440767,200
query,"Explain the difference between Supervised, Unsupervised, and Reinforcement Learning.",0.13053002502419986,200
query,"What are the primary functions of carbohydrates, proteins, and fats as described in the 'Food Factsheets'?",0.07909191798535176,200
query,What is the difference between free sugars and intrinsic sugars?,0.0726854320091661,200
query,What are trans fats and why are they harmful?,0.07983746900572442,200
query,What multimodal approach does the 'Human Behaviour Analysis' paper propose for emotion recognition?,0.07721360499272123,200
query,Compare the architecture of Convolutional Neural Networks (CNNs) and Recurrent Neural Networks (RNNs) based on the table in 'cnn1-human-behaviour.pdf'.,0.07597102699219249,200
query,How does the 'philosophy-1.pdf' paper argue that classical metaphysics was used to justify social hierarchies?,0.07695878701633774,200
query,How does the philosophy paper use Aristotle as an example of justifying hierarchy?,0.07065687299473211,200
query,How does Spinoza's philosophy represent a shift from classical metaphysical thought according to the document?,0.08101372097735293,200
query,"What is the key trend in the Mexican food market, according to 'Mexican-Food-1.pdf'?",0.1274728790158406,200
query,What is the difference between 'authentic' Mexican food and 'Tex-Mex'?,0.07497268400038593,200
query,What was the key achievement of the 'ImageNet Classification' (AlexNet) paper?,0.014780650002649054,500
query,What two main methods did the AlexNet paper use to reduce overfitting?,0.01474557799519971,500
query,What novel architectural features did the AlexNet (ImageNet Classification) paper introduce or use effectively?,0.016170205984963104,500
query,What are some of the main components of a healthy diet according to the 'Food Factsheets'?,0.07715194000047632,200
query,What are the concerns about AI mentioned in the 'A_Brief_Introduction_To_AI.pdf'?,0.0729369779874105,200
query,Describe the overall architecture of the CNN in the 'ImageNet Classification' paper.,0.014158682024572045,500
query,How do CNNs and AI apply to both facial recognition and general image classification?,0.08011212397832423,200
query,"What is the demographic and economic profile of the Hispanic market in the US, according to the 'Mexican Food' article?",0.1129888310097158,200
summarize,,49.28195223098737,200
generate_tools,,,
